,Person_ID,Person_name,Person_age,Person_gender,Person_ducation_level_ID,Assoc_stimulus,Term1,Term2,mahalanobis,Person_term_ID,Person_term_name,Person_term_age,Person_term_gender,Person_term_ducation_level_ID
168,0,enrollee,18,female,1,scientific/science,scientific/science,program,645.4359330181267,1,graduate,25,male,2
169,0,enrollee,18,female,1,scientific/science,scientific/science,program,734.0046248117665,2,parent,40,female,2
170,0,enrollee,18,female,1,scientific/science,scientific/science,program,679.8423144267609,3,post-doc,34,male,3
171,1,graduate,25,male,2,scientific/science,scientific/science,center,1027.1939875156982,0,enrollee,18,female,1
172,1,graduate,25,male,2,scientific/science,scientific/science,center,1036.6707831348583,1,graduate,25,male,2
173,1,graduate,25,male,2,scientific/science,scientific/science,center,1016.883243932095,2,parent,40,female,2
174,1,graduate,25,male,2,scientific/science,scientific/science,center,1027.821906745691,3,post-doc,34,male,3
175,1,graduate,25,male,2,scientific/science,scientific/science,university,980.9856523548028,0,enrollee,18,female,1
176,1,graduate,25,male,2,scientific/science,scientific/science,university,1016.360526106903,1,graduate,25,male,2
177,1,graduate,25,male,2,scientific/science,scientific/science,university,1025.3532972356988,2,parent,40,female,2
178,1,graduate,25,male,2,scientific/science,scientific/science,university,975.7886191518535,3,post-doc,34,male,3
179,1,graduate,25,male,2,scientific/science,scientific/science,scientific/science,1002.9958700523972,0,enrollee,18,female,1
180,1,graduate,25,male,2,scientific/science,scientific/science,scientific/science,977.0624849810533,2,parent,40,female,2
181,1,graduate,25,male,2,scientific/science,scientific/science,scientific/science,976.3502615578418,3,post-doc,34,male,3
182,1,graduate,25,male,2,scientific/science,scientific/science,educational/education,978.9015857603588,0,enrollee,18,female,1
183,1,graduate,25,male,2,scientific/science,scientific/science,educational/education,976.8540832369721,1,graduate,25,male,2
184,1,graduate,25,male,2,scientific/science,scientific/science,educational/education,974.5875208111094,2,parent,40,female,2
185,1,graduate,25,male,2,scientific/science,scientific/science,educational/education,1021.8220223072398,3,post-doc,34,male,3
186,1,graduate,25,male,2,scientific/science,scientific/science,program,1044.894641355148,0,enrollee,18,female,1
