,Person_ID,Person_name,Person_age,Person_gender,Person_ducation_level_ID,Assoc_stimulus,Term1,Term2,cos,Person_term_ID,Person_term_name,Person_term_age,Person_term_gender,Person_term_ducation_level_ID
185,1,graduate,25,male,2,scientific/science,scientific/science,educational/education,0.24985392,3,post-doc,34,male,3
186,1,graduate,25,male,2,scientific/science,scientific/science,program,0.20832111,0,enrollee,18,female,1
187,1,graduate,25,male,2,scientific/science,scientific/science,program,0.24861272,1,graduate,25,male,2
188,1,graduate,25,male,2,scientific/science,scientific/science,program,0.18822092,2,parent,40,female,2
189,1,graduate,25,male,2,scientific/science,scientific/science,program,0.13177463,3,post-doc,34,male,3
190,2,parent,40,female,2,scientific/science,scientific/science,center,0.33811015,0,enrollee,18,female,1
191,2,parent,40,female,2,scientific/science,scientific/science,center,0.37643626,1,graduate,25,male,2
192,2,parent,40,female,2,scientific/science,scientific/science,center,0.20874786,2,parent,40,female,2
193,2,parent,40,female,2,scientific/science,scientific/science,center,0.2257889,3,post-doc,34,male,3
194,2,parent,40,female,2,scientific/science,scientific/science,university,0.30007312,0,enrollee,18,female,1
195,2,parent,40,female,2,scientific/science,scientific/science,university,0.19141504,1,graduate,25,male,2
196,2,parent,40,female,2,scientific/science,scientific/science,university,0.16716626,2,parent,40,female,2
197,2,parent,40,female,2,scientific/science,scientific/science,university,0.19137086,3,post-doc,34,male,3
198,2,parent,40,female,2,scientific/science,scientific/science,scientific/science,0.77614653,0,enrollee,18,female,1
199,2,parent,40,female,2,scientific/science,scientific/science,scientific/science,0.44955277,1,graduate,25,male,2
200,2,parent,40,female,2,scientific/science,scientific/science,scientific/science,0.8142837,3,post-doc,34,male,3
201,2,parent,40,female,2,scientific/science,scientific/science,educational/education,0.13196732,0,enrollee,18,female,1
202,2,parent,40,female,2,scientific/science,scientific/science,educational/education,0.13753234,1,graduate,25,male,2
203,2,parent,40,female,2,scientific/science,scientific/science,educational/education,0.14773785,2,parent,40,female,2
204,2,parent,40,female,2,scientific/science,scientific/science,educational/education,0.18621206,3,post-doc,34,male,3
205,2,parent,40,female,2,scientific/science,scientific/science,program,0.14363502,0,enrollee,18,female,1
206,2,parent,40,female,2,scientific/science,scientific/science,program,0.15476313,1,graduate,25,male,2
207,2,parent,40,female,2,scientific/science,scientific/science,program,0.14303495,2,parent,40,female,2
208,2,parent,40,female,2,scientific/science,scientific/science,program,0.075608626,3,post-doc,34,male,3
209,3,post-doc,34,male,3,scientific/science,scientific/science,center,0.33093318,0,enrollee,18,female,1
210,3,post-doc,34,male,3,scientific/science,scientific/science,center,0.3684728,1,graduate,25,male,2
211,3,post-doc,34,male,3,scientific/science,scientific/science,center,0.12766872,2,parent,40,female,2
212,3,post-doc,34,male,3,scientific/science,scientific/science,center,0.11745689,3,post-doc,34,male,3
213,3,post-doc,34,male,3,scientific/science,scientific/science,university,0.22307308,0,enrollee,18,female,1
214,3,post-doc,34,male,3,scientific/science,scientific/science,university,0.1378088,1,graduate,25,male,2
215,3,post-doc,34,male,3,scientific/science,scientific/science,university,0.14474447,2,parent,40,female,2
216,3,post-doc,34,male,3,scientific/science,scientific/science,university,0.17865318,3,post-doc,34,male,3
217,3,post-doc,34,male,3,scientific/science,scientific/science,scientific/science,0.778409,0,enrollee,18,female,1
218,3,post-doc,34,male,3,scientific/science,scientific/science,scientific/science,0.4728858,1,graduate,25,male,2
219,3,post-doc,34,male,3,scientific/science,scientific/science,scientific/science,0.8142837,2,parent,40,female,2
220,3,post-doc,34,male,3,scientific/science,scientific/science,educational/education,0.20678754,0,enrollee,18,female,1
221,3,post-doc,34,male,3,scientific/science,scientific/science,educational/education,0.15909676,1,graduate,25,male,2
222,3,post-doc,34,male,3,scientific/science,scientific/science,educational/education,0.21587762,2,parent,40,female,2
223,3,post-doc,34,male,3,scientific/science,scientific/science,educational/education,0.24353987,3,post-doc,34,male,3
224,3,post-doc,34,male,3,scientific/science,scientific/science,program,0.17685993,0,enrollee,18,female,1
225,3,post-doc,34,male,3,scientific/science,scientific/science,program,0.17928392,1,graduate,25,male,2
226,3,post-doc,34,male,3,scientific/science,scientific/science,program,0.18230854,2,parent,40,female,2
227,3,post-doc,34,male,3,scientific/science,scientific/science,program,0.1321877,3,post-doc,34,male,3
228,0,enrollee,18,female,1,educational/education,educational/education,center,0.39685348,0,enrollee,18,female,1
