,Person_ID,Person_name,Person_age,Person_gender,Person_ducation_level_ID,Assoc_stimulus,Term1,Term2,cos,Person_term_ID,Person_term_name,Person_term_age,Person_term_gender,Person_term_ducation_level_ID
337,1,магистрант,25,male,2,программа,программа,образовательный/образование,0.6727904,2,родитель,40,female,2
338,1,магистрант,25,male,2,программа,программа,образовательный/образование,0.67154324,3,аспирант,34,male,3
339,1,магистрант,25,male,2,программа,программа,программа,0.82828844,0,абитуриентка,18,female,1
342,2,родитель,40,female,2,программа,программа,центр,0.7702477,0,абитуриентка,18,female,1
343,2,родитель,40,female,2,программа,программа,центр,0.7090206,1,магистрант,25,male,2
344,2,родитель,40,female,2,программа,программа,центр,0.7111123,2,родитель,40,female,2
345,2,родитель,40,female,2,программа,программа,центр,0.8296236,3,аспирант,34,male,3
346,2,родитель,40,female,2,программа,программа,университет,0.71519935,0,абитуриентка,18,female,1
347,2,родитель,40,female,2,программа,программа,университет,0.74413085,1,магистрант,25,male,2
348,2,родитель,40,female,2,программа,программа,университет,0.707976,2,родитель,40,female,2
349,2,родитель,40,female,2,программа,программа,университет,0.8095174,3,аспирант,34,male,3
350,2,родитель,40,female,2,программа,программа,наука/научный,0.7610266,0,абитуриентка,18,female,1
351,2,родитель,40,female,2,программа,программа,наука/научный,0.682852,1,магистрант,25,male,2
352,2,родитель,40,female,2,программа,программа,наука/научный,0.79333335,2,родитель,40,female,2
353,2,родитель,40,female,2,программа,программа,наука/научный,0.6934737,3,аспирант,34,male,3
354,2,родитель,40,female,2,программа,программа,образовательный/образование,0.66892254,0,абитуриентка,18,female,1
355,2,родитель,40,female,2,программа,программа,образовательный/образование,0.6423496,1,магистрант,25,male,2
356,2,родитель,40,female,2,программа,программа,образовательный/образование,0.6970095,2,родитель,40,female,2
357,2,родитель,40,female,2,программа,программа,образовательный/образование,0.6286433,3,аспирант,34,male,3
358,2,родитель,40,female,2,программа,программа,программа,0.8681176,0,абитуриентка,18,female,1
359,2,родитель,40,female,2,программа,программа,программа,0.91381633,1,магистрант,25,male,2
361,3,аспирант,34,male,3,программа,программа,центр,0.67444605,0,абитуриентка,18,female,1
362,3,аспирант,34,male,3,программа,программа,центр,0.6290069,1,магистрант,25,male,2
363,3,аспирант,34,male,3,программа,программа,центр,0.71238166,2,родитель,40,female,2
364,3,аспирант,34,male,3,программа,программа,центр,0.6338189,3,аспирант,34,male,3
365,3,аспирант,34,male,3,программа,программа,университет,0.7281933,0,абитуриентка,18,female,1
366,3,аспирант,34,male,3,программа,программа,университет,0.74417,1,магистрант,25,male,2
367,3,аспирант,34,male,3,программа,программа,университет,0.6898535,2,родитель,40,female,2
368,3,аспирант,34,male,3,программа,программа,университет,0.7771927,3,аспирант,34,male,3
369,3,аспирант,34,male,3,программа,программа,наука/научный,0.81407857,0,абитуриентка,18,female,1
370,3,аспирант,34,male,3,программа,программа,наука/научный,0.77177,1,магистрант,25,male,2
371,3,аспирант,34,male,3,программа,программа,наука/научный,0.7558476,2,родитель,40,female,2
372,3,аспирант,34,male,3,программа,программа,наука/научный,0.81164396,3,аспирант,34,male,3
373,3,аспирант,34,male,3,программа,программа,образовательный/образование,0.63267916,0,абитуриентка,18,female,1
374,3,аспирант,34,male,3,программа,программа,образовательный/образование,0.7029519,1,магистрант,25,male,2
375,3,аспирант,34,male,3,программа,программа,образовательный/образование,0.616272,2,родитель,40,female,2
376,3,аспирант,34,male,3,программа,программа,образовательный/образование,0.7196964,3,аспирант,34,male,3
377,3,аспирант,34,male,3,программа,программа,программа,0.66298157,0,абитуриентка,18,female,1
378,3,аспирант,34,male,3,программа,программа,программа,0.680915,1,магистрант,25,male,2
379,3,аспирант,34,male,3,программа,программа,программа,0.64432293,2,родитель,40,female,2
